,index,1,0
131,4126,Cs0.15(CH5N2)0.85PbI3-specifier-PEDOT -ITO- {'specifier',13.9
132,4137,CsPbBr3-None-c-TiO2-FTO- {'specifier',7.93
133,2985,CsPbBr3-specifier-PEDOT -ITO- {'specifier',3.9
134,446,Cu2ZnSnS4-None-CZTS ( n = 1 ; 97 nm )-ITO- {'specifier',5.8
135,447,Cu2ZnSnS4-None-CZTS ( n = 2 ; 196 nm )-ITO- {'specifier',5.8
136,448,Cu2ZnSnS4-None-CZTS ( n = 3 ; 278 nm )-ITO- {'specifier',5.8
137,449,Cu2ZnSnS4-None-PEDOT -ITO- {'specifier',5.8
138,7153,Pb(CH3COO)·3H2O-Spiro-OMeTAD-c-TiO2-c-TiO2- 'titanium dioxide',16.8
139,5193,"PbAc2·3H2O-None-PEDOT-PEDOT - 'poly(3,4-ethylenedioxythiophene) polystyrene sulfonate'",17.5
140,5249,PbI2(DMSO)x-None-None-Al-None,16.6
141,3962,"specifier-,7,7-table_caption-table_caption- 'ZnO'",4.41
142,5277,specifier-None-None-document-None,15.3
143,7503,specifier-None-None-specifier- 'document'}},14.26
144,5151,specifier-None-document-document- 'Ag',18.4
145,6230,specifier-None-document-document- 'TiO2',5.76
